cCRE File,Biosample Slim,Biosample type,Organ,Biosample summary + donor,Experiment,BigWig,Experiment,BigWig,Experiment,BigWig,Experiment,BigWig
ENCFF985FHV_ENCFF343IDC_ENCFF840GOE.bed.gz,A549,cell line,lung,Homo_sapiens_A549_ENCDO000AAZ,ENCSR000ELW,ENCFF985FHV,ENCSR000DPD,ENCFF343IDC,---,---,ENCSR000DPF,ENCFF840GOE
ENCFF640TAP_ENCFF847AMK_ENCFF004BWD.bed.gz,fibroblast of lung,primary cell,connective tissue; lung,Homo_sapiens_fibroblast_of_lung_ENCDO333AAA,ENCSR000EOJ,ENCFF640TAP,ENCSR000DVC,ENCFF847AMK,---,---,ENCSR000DVA,ENCFF004BWD
ENCFF933EUW.bed.gz,GM12891,cell line,blood; bodily fluid,Homo_sapiens_GM12891_ENCDO000ACA,ENCSR000EJE,ENCFF933EUW,---,---,---,---,---,---
ENCFF086MWH_ENCFF099XXL_ENCFF076NHL.bed.gz,LNCaP clone FGC,cell line,epithelium; prostate gland,Homo_sapiens_LNCaP_clone_FGC_ENCDO000ACX,ENCSR000EKT,ENCFF086MWH,ENCSR000DWF,ENCFF099XXL,---,---,ENCSR000DMF,ENCFF076NHL
ENCFF070KKO_ENCFF288WIX_ENCFF240OTM.bed.gz,fibroblast of pulmonary artery,primary cell,arterial blood vessel; blood vessel; connective tissue; vasculature,Homo_sapiens_fibroblast_of_pulmonary_artery_ENCDO245AAA,ENCSR000EOH,ENCFF070KKO,ENCSR000DUZ,ENCFF288WIX,---,---,ENCSR000DUX,ENCFF240OTM
ENCFF947FNR_ENCFF233CKI.bed.gz,GM13977,cell line,blood; bodily fluid,Homo_sapiens_GM13977_ENCDO000ACD,ENCSR000EJH,ENCFF947FNR,---,---,---,---,ENCSR000DLB,ENCFF233CKI
ENCFF573NKX_ENCFF760NUN_ENCFF919FBG_ENCFF332TNJ.bed.gz,H1,cell line,embryo,Homo_sapiens_H1_ENCDO000AAW,ENCSR000EMU,ENCFF573NKX,ENCSR814XPE,ENCFF760NUN,ENCSR000ANP,ENCFF919FBG,ENCSR000AMF,ENCFF332TNJ
ENCFF972BYK_ENCFF748JVS_ENCFF313KFS.bed.gz,retinal pigment epithelial cell,primary cell,epithelium; eye,Homo_sapiens_retinal_pigment_epithelial_cell_ENCDO107AAA,ENCSR000EON,ENCFF972BYK,ENCSR000DVK,ENCFF748JVS,---,---,ENCSR000DVI,ENCFF313KFS
ENCFF218CLQ_ENCFF012JLQ_ENCFF070FTG.bed.gz,GM12864,cell line,blood; bodily fluid,Homo_sapiens_GM12864_ENCDO000ABO,ENCSR000EMR,ENCFF218CLQ,ENCSR000DQZ,ENCFF012JLQ,---,---,ENCSR000DRB,ENCFF070FTG
ENCFF857RXA_ENCFF756NMQ_ENCFF493AZX_ENCFF004ITE.bed.gz,Panc1,cell line,epithelium; pancreas,Homo_sapiens_Panc1_ENCDO000ABB,ENCSR000EPT,ENCFF857RXA,ENCSR000EXI,ENCFF756NMQ,ENCSR000EXK,ENCFF493AZX,ENCSR203QEB,ENCFF004ITE
ENCFF963PFR_ENCFF577BWJ_ENCFF643ZMC_ENCFF714NPP.bed.gz,astrocyte,primary cell,brain; spinal cord,Homo_sapiens_astrocyte_ENCDO916IIE,ENCSR000EPM,ENCFF963PFR,ENCSR000AOU,ENCFF577BWJ,ENCSR000AOQ,ENCFF643ZMC,ENCSR000AOO,ENCFF714NPP
ENCFF768KOM_ENCFF631GKD_ENCFF573RGJ.bed.gz,BJ,cell line,connective tissue; penis; skin of body,Homo_sapiens_BJ_ENCDO000AAG,ENCSR000EME,ENCFF768KOM,ENCSR000DQH,ENCFF631GKD,---,---,ENCSR000DQI,ENCFF573RGJ
ENCFF514SPT_ENCFF167ZCR_ENCFF365EIN.bed.gz,bronchial epithelial cell,primary cell,bronchus; epithelium; lung,Homo_sapiens_bronchial_epithelial_cell_ENCDO106AAA,ENCSR000EPX,ENCFF514SPT,ENCSR000DXJ,ENCFF167ZCR,---,---,ENCSR000DXI,ENCFF365EIN
ENCFF236NPL_ENCFF786SRS_ENCFF518OZL.bed.gz,kidney epithelial cell,primary cell,epithelium; kidney,Homo_sapiens_kidney_epithelial_cell_ENCDO810BYC,ENCSR000EOL,ENCFF236NPL,ENCSR000DVG,ENCFF786SRS,---,---,ENCSR000DVH,ENCFF518OZL
ENCFF239XXV_ENCFF199JKB.bed.gz,GM13976,cell line,blood; bodily fluid,Homo_sapiens_GM13976_ENCDO000ACB,ENCSR000EJG,ENCFF239XXV,---,---,---,---,ENCSR000DKZ,ENCFF199JKB
ENCFF889GXK_ENCFF083ONY_ENCFF715XOZ.bed.gz,mammary epithelial cell,primary cell,epithelium; exocrine gland; mammary gland,Homo_sapiens_mammary_epithelial_cell_female_ENCDO343AAA,ENCSR000ENV,ENCFF889GXK,ENCSR000DUQ,ENCFF083ONY,---,---,ENCSR000DUS,ENCFF715XOZ
ENCFF341HKW.bed.gz,GM12892,cell line,blood; bodily fluid,Homo_sapiens_GM12892_ENCDO000AAL,ENCSR000EJF,ENCFF341HKW,---,---,---,---,---,---
ENCFF807AUZ_ENCFF466YVQ_ENCFF317LGP_ENCFF044ORH.bed.gz,chondrocyte,in vitro differentiated cells,connective tissue,Homo_sapiens_chondrocyte_ENCDO222AAA,ENCSR970DQR,ENCFF807AUZ,ENCSR434WEY,ENCFF466YVQ,ENCSR925IAP,ENCFF317LGP,ENCSR190BZA,ENCFF044ORH
ENCFF757GHL_ENCFF432PYK_ENCFF658XKZ_ENCFF179RSE.bed.gz,HeLa-S3,cell line,epithelium; uterus,Homo_sapiens_HeLa-S3_ENCDO000AAB,ENCSR959ZXU,ENCFF757GHL,ENCSR340WQU,ENCFF432PYK,ENCSR000AOC,ENCFF658XKZ,ENCSR000AOA,ENCFF179RSE
ENCFF735XLO_ENCFF970LMB_ENCFF481LLD_ENCFF838OJW.bed.gz,MM.1S,cell line,blood; bodily fluid,Homo_sapiens_MM.1S_ENCDO697GBW,ENCSR458LIB,ENCFF735XLO,ENCSR361FWQ,ENCFF970LMB,ENCSR758OEC,ENCFF481LLD,ENCSR402IDP,ENCFF838OJW
ENCFF022BVH_ENCFF944PFM_ENCFF047ISZ.bed.gz,foreskin fibroblast,primary cell,connective tissue; penis; skin of body,Homo_sapiens_foreskin_fibroblast_male_newborn_ENCDO232AAA,ENCSR000ENQ,ENCFF022BVH,ENCSR000DUJ,ENCFF944PFM,---,---,ENCSR000DUH,ENCFF047ISZ
ENCFF153DHV_ENCFF573ZFG_ENCFF389RGR_ENCFF766VDL.bed.gz,AG04450,cell line,connective tissue; lung,Homo_sapiens_AG04450_ENCDO001AAA,ENCSR000ELY,ENCFF153DHV,ENCSR000DPO,ENCFF573ZFG,ENCSR000DPL,ENCFF389RGR,ENCSR000DPM,ENCFF766VDL
